ciudad,codigo_divipola,anio_mes,ipc_indice_base2018,var_mensual,var_anual,fuente_url
Armenia,63001,2025-04,154.76,0.55,5.45,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-05,155.47,0.46,5.56,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-06,155.93,0.29,5.48,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-07,156.3,0.24,5.24,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-08,156.86,0.36,5.66,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-09,156.99,0.08,5.64,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-10,157.13,0.09,5.69,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-11,157.1,-0.02,5.11,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-12,157.66,0.36,4.99,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-01,160.0,1.48,5.48,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-02,161.79,1.12,5.61,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-03,162.94,0.71,5.86,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-04,164.93,1.22,6.57,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-05,165.73,0.49,6.6,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-06,166.21,0.29,6.6,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-07,166.51,0.18,6.53,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2026-08,167.6,0.65,6.84,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2023-09,141.24,0.63,10.84,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2023-10,141.65,0.29,10.84,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2023-11,143.61,1.38,11.45,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2023-12,144.04,0.3,10.36,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-01,144.86,0.57,9.23,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-02,146.41,1.07,8.53,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-03,147.39,0.67,8.07,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-04,148.66,0.86,8.37,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-05,149.11,0.3,8.09,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-06,149.3,0.13,7.81,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-07,149.25,-0.03,7.21,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-08,149.16,-0.06,6.27,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-09,148.99,-0.12,5.48,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-10,147.54,-0.97,4.16,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-11,147.64,0.07,2.81,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2024-12,148.85,0.82,3.34,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-01,150.24,0.93,3.71,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-02,152.18,1.29,3.94,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-03,153.47,0.85,4.12,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-04,154.35,0.57,3.82,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-05,154.93,0.38,3.91,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-06,155.01,0.05,3.82,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-07,155.38,0.24,4.11,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-08,155.43,0.03,4.2,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-09,156.05,0.4,4.74,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-10,155.5,-0.35,5.4,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-11,155.81,0.2,5.53,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2025-12,156.39,0.37,5.06,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-01,158.38,1.27,5.42,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-02,160.23,1.17,5.29,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-03,160.53,0.19,4.6,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-04,161.37,0.52,4.55,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-05,161.97,0.37,4.54,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-06,162.73,0.47,4.98,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-07,163.2,0.29,5.03,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Barranquilla,08001,2026-08,164.11,0.56,5.59,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2023-09,133.37,0.61,11.27,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2023-10,133.67,0.22,10.76,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2023-11,134.05,0.29,10.25,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2023-12,134.7,0.48,9.42,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-01,135.61,0.68,8.16,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-02,137.47,1.37,7.61,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-03,138.6,0.82,7.37,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-04,139.49,0.64,7.11,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-05,140.13,0.46,7.23,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-06,140.73,0.43,7.44,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-07,141.05,0.23,7.14,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-08,141.08,0.02,6.43,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-09,141.55,0.33,6.13,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-10,141.43,-0.08,5.81,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-11,141.83,0.28,5.8,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2024-12,142.36,0.37,5.68,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-01,143.62,0.89,5.91,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-02,145.82,1.53,6.07,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-03,146.24,0.29,5.51,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-04,147.38,0.78,5.66,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-05,147.8,0.28,5.47,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-06,148.05,0.17,5.2,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-07,148.48,0.29,5.26,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-08,148.63,0.1,5.35,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-09,149.21,0.39,5.41,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-10,149.62,0.28,5.79,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-11,149.71,0.06,5.56,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2025-12,150.06,0.23,5.41,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-01,151.57,1.01,5.54,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-02,153.16,1.05,5.04,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-03,154.45,0.84,5.61,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-04,155.62,0.76,5.59,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-05,156.29,0.43,5.75,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-06,156.89,0.38,5.97,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-07,157.12,0.15,5.82,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bogotá,11001,2026-08,157.66,0.34,6.08,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2023-09,136.7,0.37,10.69,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2023-10,137.1,0.29,10.15,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2023-11,137.95,0.62,9.94,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2023-12,138.6,0.47,8.96,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-01,140.19,1.15,8.09,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-02,141.59,1.0,7.54,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-03,142.24,0.46,7.12,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-04,143.41,0.82,7.47,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-05,144.5,0.76,7.92,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-06,144.73,0.16,7.44,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-07,145.11,0.26,7.36,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-08,145.49,0.26,6.82,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-09,146.18,0.48,6.94,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-10,145.82,-0.25,6.36,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-11,146.34,0.36,6.09,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2024-12,146.99,0.44,6.05,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-01,149.57,1.76,6.69,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-02,151.14,1.05,6.75,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-03,152.23,0.72,7.02,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-04,152.74,0.33,6.5,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-05,152.63,-0.07,5.62,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-06,152.64,0.01,5.47,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-07,153.36,0.47,5.69,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-08,154.02,0.43,5.87,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-09,154.59,0.37,5.75,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-10,154.84,0.16,6.19,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-11,154.92,0.05,5.86,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2025-12,155.5,0.38,5.79,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-01,158.41,1.87,5.91,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-02,159.92,0.95,5.8,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-03,161.04,0.7,5.78,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-04,162.71,1.04,6.53,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-05,162.81,0.06,6.67,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-06,163.39,0.36,7.04,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-07,163.74,0.21,6.77,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Bucaramanga,68001,2026-08,164.84,0.67,7.02,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2023-09,138.08,0.38,10.91,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2023-10,138.73,0.47,10.61,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2023-11,138.93,0.14,9.97,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2023-12,139.23,0.22,8.7,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-01,140.71,1.06,7.92,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-02,142.02,0.93,7.39,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-03,142.74,0.51,6.81,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-04,143.64,0.63,6.71,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-05,144.03,0.27,6.41,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-06,144.04,0.01,6.22,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-07,144.36,0.22,5.93,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-08,144.62,0.18,5.13,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-09,144.96,0.24,4.98,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-10,144.82,-0.1,4.39,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-11,145.04,0.15,4.4,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2024-12,145.54,0.35,4.53,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-01,146.74,0.82,4.29,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-02,148.0,0.86,4.21,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-03,149.01,0.68,4.39,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-04,150.17,0.78,4.55,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-05,150.5,0.22,4.49,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-06,150.44,-0.04,4.44,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-07,150.94,0.33,4.56,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-08,151.45,0.34,4.72,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-09,151.57,0.08,4.56,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-10,152.13,0.37,5.05,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Cali,76001,2025-11,152.09,-0.03,4.86,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
