ciudad,codigo_divipola,indice_lineapobreza_base100,dep_bogota1000,dep_reescalado_base100,brecha_puntos,dominio_es_area_metropolitana,nota_dep,fuente_url_nivel,fuente_url_dep
Neiva,41001,107.14,0.979,104.24,+2.90,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Riohacha,44001,75.07,0.871,92.74,-17.66,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Santa Marta,47001,89.01,0.894,95.19,-6.17,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Villavicencio,50001,96.52,0.933,99.34,-2.82,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Pasto,52001,104.52,0.983,104.66,-0.14,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Cúcuta,54001,90.46,0.859,91.46,-1.00,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Armenia,63001,106.85,0.981,104.45,+2.41,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Pereira,66001,107.26,0.976,103.92,+3.35,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Bucaramanga,68001,121.69,1.017,108.28,+13.41,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Sincelejo,70001,86.42,0.852,90.71,-4.29,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Ibagué,73001,100.89,0.937,99.76,+1.12,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Cali,76001,92.90,0.974,103.70,-10.80,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
